Pre-hit context;Hit string;Post-hit context;File name;Transcript ID;Speaker ID;Speaker gender;Speaker role;Speaker native speaker status
gy and the courses that you would take from psychology, are all gonna be about organ- organizations.;how;people organize themselves how they work as teams how they don't work as teams, what can go right wh; Academic Advising ;ADV700JU047;S2;F;ST;NS
  i'll forget in five minutes,  (;how;to scan)     ; Biology of Birds Field Lab ;LAB175SU026;SU-m;M;SU;NS
ther people is what we observe and what we communicate with them and the inferences we draw. and and;how;well their, uh, our internal predictions are met or, exceeded or abashed by v- various things. uh, s; Linguistics Independent Study Advising ;OFC355SU094;S1;M;SF;NS
 if you hadn't written it yourself. right? approach it as you would approach a foreign text. and see;how;it stands up, under those circumstances. right? under those demands. questions here? is that a hand ; English Composition Seminar ;SEM300MU100;S1;M;JF;NS
  i don't get like  this whole thing he's talking  about;how;you have the M-R-N-A and you lose the introns,  and then  you use v- reverse tr; Intro Biology Study Group ;SGR175MU126;S4;F;SU;NS
  it says that the frequency of all three  of the different genotypes equal one. so;how;could P plus Q equal one?   bec; Intro Biology Exam Review ;OFC175JU145;S2;F;JU;NS
yourself   i was like i was li-;how;the hell do you do this?    ; Astronomy Peer Tutorial ;OFC150MU042;S7;M;SU;NS
 know.   (xx) i just don't know;how;to  (xx) so it's the same exact thing then.   ; Astronomy Peer Tutorial ;OFC150MU042;S6;F;SU;NS
  okay (xx) what?  ;how;can you tell if N-H-three, complexes with transitions (isn't) the only way to like precipitate like ; Chemistry Discussion Section Student Presentations ;STP200JU019;S7;F;SU;NS
  yeah  ;how;so?   um, well he's a stereotyp; English Composition Seminar ;SEM300MU100;S1;M;JF;NS
   that really  tells me;how;to do it.   i'm ready to crawl ; Math Study Group ;SGR385SU057;S2;F;SU;NS
  right. so let's look at the, left-hand carbon.;how;many options do we have as it's drawn right now?   ; Organic Chemistry Study Group ;SGR200JU125;S1;F;JU;NS
now this isn't. this is not bronze, this is plaster, and we're gon- i'll let me, explain that, that,;how;that works.   i'll be damned ; Visual Sources Lecture ;LES320SU085;S1;F;SF;NS
   i guess that means  that i get out of it but i get credit, right? and;how;many credits would i get th- you know? or or   ; Honors Advising ;ADV700JU023;S2;F;JU;NS
finity    ;how;do you  make a picture of it?   ; Math Study Group ;SGR385SU057;S2;F;SU;NS
  yeah the double bonds lead you toward it. yeah;how;would you say that?    ; Organic Chemistry Study Group ;SGR200JU125;S2;M;JU;NS
  you guys  really really want to know. but i will call at the end if we have time.;how;'bout?   okay   ; Intro Biology Study Group ;SGR175MU126;S1;F;SU;NS
  alright let's look at what they wrote about;how;'bout that?   yeah, you do that; Math Study Group ;SGR385SU057;S1;M;SU;NS
  right the Ku Klux Klan  march.  right i remember that yeah.;how;did that go?   it went well.  ; English Composition Tutorial ;OFC301MU021;S1;F;JF;NS
.   ;how;are the batteries doing?   doin; Biology of Fishes Field Lab ;LAB175SU032;S1;M;SF;NSO
ces you know bad behavior.   so;how;do i, fix that? because i i feel as though, what i wanna, say is is talk about um, i mean certainly ; American Culture Advising ;OFC105SU068;S1;M;SU;NS
  your re- reasoning faculty.  ;how;about  something simpler?    ; Objectivism Student Group ;SGR999MX115;S1;M;SG;NS
 um... so i mean in a way that is a pretty good start of, a thesis. um, and when you start to define;how;that community is defined, through these objects etcetera um, you'll be, um one step towards sort of; Anthropology of American Cities Office Hours ;OFC115SU060;S2;F;SG;NS
  don't  think that's true at all. um, i just think that now it is not self-evident;how;you're going to, um, i mean here i mean here is something that this is also, so there's a kind of wa; Anthropology of American Cities Office Hours ;OFC115SU060;S2;F;SG;NS
his is    ;how;do you mean?    see ; Statistics Office Hours ;OFC575MU046;S3;F;SU;NS
  you need to think about, okay if they're focusing most of their activities on children, um,;how;do they maybe think that the, um festival, connects to that mission of what, how does the festival c; Anthropology of American Cities Office Hours ;OFC115SU060;S2;F;SG;NS
re in that place, how do you?  ;how;how are you not?   cuz i don't ; First Year Philosophy Seminar ;SEM475JU084;S3;M;JU;NS
     i don't know;how; you could argue  that i (do this in) (xx)    ; Objectivism Student Group ;SGR999MX115;S1;M;SG;NS
  um, will give you a different width, slightly, depending on;how;skilled the weaver is. and then once she finished at this wide point, she decided to cut it in half ; Art History Office Hours ;OFC320SU153;S1;F;JF;NS
  the cafe.  ;how;much is (the cafe two?)   ; Media Union Service Encounters ;SVC999MX104;S2;M;JU;NS
 you have to draw a line starting almost at one. and then once you get up here it's like, how could_;how;can  you (xx)  (stages.)  so th; Heat and Mass Transfer Office Hours ;OFC195SU116;S19;F;SU;NS
here has been faded, and this side here has not?  so that gives you an  idea of;how;it was it was used in the culture, and they were careful to sun, when it's drying only, this portion; Art History Office Hours ;OFC320SU153;S1;F;JF;NS
ny fisheries. um,   how do y-;how;do you determine maximum size (xx)   ; Biology of Fishes Lab ;LAB175SU033;SU-m;M;UN;NS
  oh okay i under-  oh so that's ;how;they relate.   right, that's ho; Biochemistry Study Group ;SGR175SU123;S2;M;SU;NS
  that's good.   so;how;does S-N-two work?   (xx) ; Organic Chemistry Study Group ;SGR200JU125;S1;F;JU;NS
