Pre-hit context;Hit string;Post-hit context;File name;Transcript ID;Speaker ID;Speaker gender;Speaker role;Speaker native speaker status;Frag.;Post
gy and the courses that you would take from psychology, are all gonna be about organ- organizations.;how;people organize themselves how they work as teams how they don't work as teams, what can go right wh; Academic Advising ;ADV700JU047;S2;F;ST;NS;Frag.;people
i'll forget in five minutes,  (;how;to scan)     ; Biology of Birds Field Lab ;LAB175SU026;SU-m;M;SU;NS;Frag.;to
ther people is what we observe and what we communicate with them and the inferences we draw. and and;how;well their, uh, our internal predictions are met or, exceeded or abashed by v- various things. uh, s; Linguistics Independent Study Advising ;OFC355SU094;S1;M;SF;NS;Decl.;well
if you hadn't written it yourself. right? approach it as you would approach a foreign text. and see;how;it stands up, under those circumstances. right? under those demands. questions here? is that a hand ; English Composition Seminar ;SEM300MU100;S1;M;JF;NS;Quest.;it
i don't get like  this whole thing he's talking  about;how;you have the M-R-N-A and you lose the introns,  and then  you use v- reverse tr; Intro Biology Study Group ;SGR175MU126;S4;F;SU;NS;Frag.;you
it says that the frequency of all three  of the different genotypes equal one. so;how;could P plus Q equal one?   bec; Intro Biology Exam Review ;OFC175JU145;S2;F;JU;NS;Quest.;could
yourself   i was like i was li-;how;the hell do you do this?    ; Astronomy Peer Tutorial ;OFC150MU042;S7;M;SU;NS;Quest.;the
know.   (xx) i just don't know;how;to  (xx) so it's the same exact thing then.   ; Astronomy Peer Tutorial ;OFC150MU042;S6;F;SU;NS;Decl.;to
okay (xx) what?  ;how;can you tell if N-H-three, complexes with transitions (isn't) the only way to like precipitate like ; Chemistry Discussion Section Student Presentations ;STP200JU019;S7;F;SU;NS;Frag.;can
yeah  ;how;so?   um, well he's a stereotyp; English Composition Seminar ;SEM300MU100;S1;M;JF;NS;Quest.;so
that really  tells me;how;to do it.   i'm ready to crawl ; Math Study Group ;SGR385SU057;S2;F;SU;NS;Decl.;to
right. so let's look at the, left-hand carbon.;how;many options do we have as it's drawn right now?   ; Organic Chemistry Study Group ;SGR200JU125;S1;F;JU;NS;Quest.;many
now this isn't. this is not bronze, this is plaster, and we're gon- i'll let me, explain that, that,;how;that works.   i'll be damned ; Visual Sources Lecture ;LES320SU085;S1;F;SF;NS;Decl.;that
